originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
BLAST SWORD,Blast Blade,Blast Blade (BLAST SWORD),"Unlock: crafted, quarryDiscovery | Location: Dragon Armory | Source: Dragon King | Cost: 1 Drake Scale; 1 Fire Gland",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,weapon,weapon,sword,1,"Precise, Marking, Counter, Fire","Blast Blade Cut — Cost 1 Attack. [Damage: 8] Deal 8 damage. If this is your second attack this turn, deal +2.","Blast Blade Marking Stroke — Cost 1 Attack. [Damage: 7; Break: 4; Status: Marked] Deal 7 damage and apply Marked. If targeting a weak point, +2 break damage.",Blast Blade Measured Finish — Cost 2 Attack. [Damage: 12 / +4 conditional] Deal 12 damage. Deal +4 if the monster is below half HP or the weak point is Open.,,Adds a balanced Marked-payoff weapon card package; weapon proficiency improves its weak-point and harvest role.,Fire,Uses sword weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
BLOOD BAG,Mourning Blood Bag,Mourning Blood Bag (BLOOD BAG),"Unlock: crafted, quarryDiscovery | Location: Blood Crafter | Source: Rose Knight | Cost: 1 Rose Petal; 1 Rose Sinew",Fen's Fan Expansions / Rose Knight,Blood Crafter,Rose Knight,tool,tool,tool,0,"Tool, Harvest, Retreat","Mourning Blood Bag Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Rose Knight/KDM - Blood Crafter.pdf,verified
BLOOD HELM,Blood Crown,Blood Crown (BLOOD HELM),"Unlock: crafted, quarryDiscovery | Location: Blood Crafter | Source: Rose Knight | Cost: 1 Rose Petal; 1 Blood Thorn; 1 Rose Sinew",Fen's Fan Expansions / Rose Knight,Blood Crafter,Rose Knight,head,head,armor,0,"Defensive, Party, WoundCare",Blood Crown Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Blood Crown Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Rose Knight/KDM - Blood Crafter.pdf,verified
BLOOD PAINT,Blackglass Blood Paint,Blackglass Blood Paint (BLOOD PAINT),"Unlock: crafted, quarryDiscovery | Location: Stone Circle | Source: Screaming Antelope | Cost: 1 Wailing Horn; 1 Wailing Hide",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Stone Circle,Screaming Antelope,tool,tool,consumable,0,"Tool, Survival, Retreat","Blackglass Blood Paint Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Stone Circle.pdf; References - PDF/Community Edition 2.0/KDM - Stone Circle (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Stone Circle (SIP).pdf,verified
BLOOD SHEATH,Grave Blood Sheath,Grave Blood Sheath (BLOOD SHEATH),Unlock: crafted | Location: Weapon Crafter | Source: Settlement | Cost: 1 Bone; 1 Sinew,Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium,Weapon Crafter,Settlement,tool,tool,tool,0,"Tool, Harvest, Retreat","Grave Blood Sheath Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Weapon Crafter.pdf; References - PDF/Community Edition 2.0/KDM - Weapon Crafter (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Weapon Crafter (Fen's Dagger Emporium).pdf,verified
BLOOM SPHERE,Blackglass Bloom Sphere,Blackglass Bloom Sphere (BLOOM SPHERE),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather",Base Game; Community Edition 2.0,Plumery,Phoenix,tool,tool,tool,0,"Tool, Harvest, Retreat, Strange","Blackglass Bloom Sphere Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Strange Focus: first Strange card each combat draws 1 and adds 1 Panic to discard; if Monster Bane matches, do not add Panic.","Harvest, Retreat, Strange",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
BLUE CHARM,Kindled Blue Charm,Kindled Blue Charm (BLUE CHARM),"Unlock: crafted, quarryDiscovery | Location: Stone Circle | Source: Screaming Antelope | Cost: 1 Wailing Horn; 1 Wailing Hide",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Stone Circle,Screaming Antelope,charm,charm,charm,0,"Charm, Passive, Survival","Kindled Blue Charm Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Stone Circle.pdf; References - PDF/Community Edition 2.0/KDM - Stone Circle (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Stone Circle (SIP).pdf,verified
BLUE POWER CORE,Dusk Blue Power Core,Dusk Blue Power Core (BLUE POWER CORE),"Unlock: crafted, quarryDiscovery, rareHarvestOrEvent | Location: Dragon Armory | Source: Dragon King | Event: promo/vignette/settlement/hunt event table | Cost: 1 Drake Scale; 1 Fire Gland; 1 Imperial Horn",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium,Dragon Armory,Dragon King,charm,charm,charm,0,"Charm, Passive, Survival, Fire","Dusk Blue Power Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Fire,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Expansions of Death/KDM - Dragon Armory.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Dragon Armory (Fen's Dagger Emporium).pdf,verified
BLUE RING,Blue Hooked,Blue Hooked (BLUE RING),"Unlock: crafted, quarryDiscovery | Location: Silk Mill | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Expansions of Death; Fen's Fan Expansions / Fen's Dagger Emporium; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Silk Mill,Spidicules,charm,arms,charm,0,"Charm, Passive, Survival, Web","Blue Hooked Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Silk Mill.pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Silk Mill (Fen's Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Silk Mill (SIP).pdf,verified
BONE AXE,Kindled Bone Axe,Kindled Bone Axe (BONE AXE),Unlock: crafted | Location: Bone Smith | Source: Settlement | Cost: 1 Bone; 1 Hide; 1 Sinew,Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium; Fen's Fan Expansions / Hunting Hall,Bone Smith,Settlement,weapon,weapon,axe,1,"Heavy, Brutal, Harvest","Kindled Bone Axe Hew — Cost 1 Attack. [Damage: 8; Break: 6] Deal 8 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Kindled Bone Axe Split — Cost 1 Attack. [Damage: 6; Status: Bleed 2] Deal 6 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Kindled Bone Axe Overhead — Cost 2 Attack. [Damage: 11; Exhaust] Deal 11 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Harvest,Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Base Game/KDM - Bone Smith.pdf; References - PDF/Community Edition 2.0/KDM - Bone Smith (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Bone Smith (Fen's Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Bone Smith (Hunting Hall).pdf,verified
BONE AXE (BROKEN),Hollow Bone Axe (Broken),Hollow Bone Axe (Broken) (BONE AXE (BROKEN)),Unlock: crafted | Location: Bone Smith | Source: Settlement | Cost: 1 Bone; 1 Hide,Community Edition 2.0,Bone Smith,Settlement,weapon,weapon,axe,1,"Heavy, Brutal, Harvest","Hollow Bone Axe Hew — Cost 1 Attack. [Damage: 8; Break: 6] Deal 8 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Hollow Bone Axe Split — Cost 1 Attack. [Damage: 6; Status: Bleed 2] Deal 6 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Hollow Bone Axe Overhead — Cost 2 Attack. [Damage: 11; Exhaust] Deal 11 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Harvest,Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Community Edition 2.0/KDM - Bone Smith (CE 2.0).pdf,verified
